subject	5.02E-03	2.70E-04	1.14E-02	2.19E-04	3.09E-04	1.40E-04	1.64E-04	2.10E-04	3.01E-04	1.45E-04	1.43E-04	2.78E-04	2.37E-04	2.76E-04	6.37E-05	1.04E-04	1.03E-04	2.76E-04	1.72E-04	1.59E-04	1.79E-04	1.65E-04	3.49E-03	1.59E-04	2.04E-04
domestic	2.52E-04	2.70E-04	1.97E-04	8.52E-03	3.09E-04	1.40E-04	1.64E-04	2.10E-04	3.01E-04	1.45E-04	1.43E-04	2.78E-04	2.37E-04	2.76E-04	6.37E-05	1.04E-04	1.03E-04	2.76E-04	1.72E-04	1.59E-04	1.79E-04	1.65E-04	3.49E-03	1.59E-04	2.04E-04
policy	9.78E-03	2.70E-04	1.97E-04	2.19E-04	3.09E-04	1.40E-04	1.64E-04	2.10E-04	3.01E-04	1.45E-04	1.43E-04	2.78E-04	2.37E-04	2.76E-04	6.37E-05	2.97E-02	1.03E-04	2.76E-04	1.72E-04	1.59E-04	1.79E-04	1.65E-04	1.75E-04	1.59E-04	2.04E-04
divide	2.52E-04	2.70E-04	1.97E-04	2.19E-04	3.09E-04	1.40E-04	1.64E-04	2.10E-04	3.01E-04	1.45E-04	1.43E-04	2.78E-04	2.37E-04	2.76E-04	1.27E-03	1.04E-04	1.03E-04	2.76E-04	1.72E-04	1.59E-04	1.79E-04	1.65E-04	1.75E-04	1.59E-04	2.04E-04
hour	5.02E-03	2.70E-04	1.97E-04	2.19E-04	3.09E-04	1.40E-04	1.64E-04	2.10E-04	3.01E-04	1.45E-04	1.43E-04	2.78E-04	2.37E-04	2.76E-04	6.37E-05	1.04E-04	1.03E-04	2.76E-04	1.72E-04	1.59E-04	1.79E-04	1.65E-04	1.75E-04	1.59E-04	2.04E-04
half	2.52E-04	2.70E-04	1.97E-04	2.19E-04	3.09E-04	1.40E-04	1.64E-04	2.10E-04	3.01E-04	5.61E-03	1.43E-04	2.78E-04	2.37E-04	2.76E-04	1.27E-03	1.04E-04	1.03E-04	2.76E-04	1.72E-04	1.59E-04	1.79E-04	1.65E-04	1.75E-04	1.59E-04	2.04E-04
minute	2.52E-04	2.70E-04	1.97E-04	2.19E-04	3.09E-04	1.40E-04	1.64E-04	2.10E-04	3.01E-04	1.45E-04	1.43E-04	2.78E-04	2.37E-04	2.76E-04	6.37E-05	2.08E-03	1.03E-04	2.76E-04	1.72E-04	1.59E-04	1.79E-04	1.65E-04	1.75E-04	1.59E-04	2.04E-04
segments	2.52E-04	2.70E-04	1.97E-04	2.19E-04	3.09E-04	1.40E-04	1.64E-04	2.10E-04	3.01E-04	1.45E-04	1.43E-04	2.78E-04	2.37E-04	2.76E-04	6.37E-05	1.04E-04	1.03E-04	2.76E-04	1.72E-04	3.16E-03	1.79E-04	1.65E-04	1.75E-04	1.59E-04	2.04E-04
question	1.93E-02	2.70E-04	1.97E-04	2.19E-04	3.09E-04	1.40E-04	1.64E-04	2.10E-04	5.99E-03	5.61E-03	1.43E-04	2.78E-04	2.37E-04	2.76E-04	6.09E-03	1.04E-04	2.05E-03	2.76E-04	1.72E-04	1.59E-04	1.79E-04	1.65E-04	1.75E-04	1.59E-04	2.04E-04
beginning	5.02E-03	2.70E-04	1.97E-04	2.19E-04	3.09E-04	1.40E-04	1.64E-04	2.10E-04	3.01E-04	1.45E-04	1.43E-04	2.78E-04	4.72E-03	2.76E-04	6.37E-05	1.04E-04	1.03E-04	2.76E-04	1.72E-04	1.59E-04	1.79E-04	1.65E-04	1.75E-04	1.59E-04	4.07E-03
segment	5.02E-03	2.70E-04	1.97E-04	2.19E-04	3.09E-04	1.40E-04	1.64E-04	2.10E-04	3.01E-04	1.45E-04	1.43E-04	2.78E-04	2.37E-04	2.76E-04	6.37E-05	1.04E-04	1.03E-04	2.76E-04	1.72E-04	1.59E-04	1.79E-04	1.65E-04	1.75E-04	1.59E-04	2.04E-04
candidate	5.02E-03	2.70E-04	1.97E-04	2.19E-04	3.09E-04	1.40E-04	1.64E-04	2.10E-04	3.01E-04	1.45E-04	1.43E-04	2.78E-04	2.37E-04	5.49E-03	6.37E-05	1.04E-04	1.03E-04	2.76E-04	1.72E-04	1.59E-04	1.79E-04	1.65E-04	1.75E-04	1.59E-04	2.04E-04
minutes	5.02E-03	2.70E-04	1.97E-04	2.19E-04	3.09E-04	1.40E-04	1.64E-04	2.10E-04	3.01E-04	1.45E-04	1.43E-04	2.78E-04	2.37E-04	2.76E-04	6.37E-05	1.04E-04	1.03E-04	2.76E-04	1.72E-04	1.59E-04	1.79E-04	1.65E-04	1.75E-04	1.59E-04	2.04E-04
respond	2.52E-04	2.70E-04	3.92E-03	8.52E-03	3.09E-04	1.40E-04	1.64E-04	2.10E-04	5.99E-03	1.45E-04	1.43E-04	2.78E-04	2.37E-04	2.76E-04	6.37E-05	1.04E-04	1.03E-04	2.76E-04	1.72E-04	3.16E-03	1.79E-04	1.65E-04	1.75E-04	1.59E-04	2.04E-04
ll	2.52E-04	2.70E-04	1.97E-04	2.19E-04	3.09E-04	1.40E-04	1.64E-04	2.10E-04	3.01E-04	1.45E-04	1.43E-04	2.78E-04	2.37E-04	2.76E-04	3.02E-02	1.04E-04	1.18E-02	2.76E-04	1.72E-04	6.17E-03	1.79E-04	1.65E-04	1.75E-04	1.59E-04	2.04E-04
discussion	2.52E-04	2.70E-04	1.97E-04	2.19E-04	3.09E-04	1.40E-04	1.64E-04	2.10E-04	3.01E-04	1.45E-04	1.43E-04	2.78E-04	2.37E-04	2.76E-04	2.47E-03	1.04E-04	1.03E-04	2.76E-04	1.72E-04	3.16E-03	1.79E-04	1.65E-04	1.75E-04	1.59E-04	2.04E-04
encourage	2.52E-04	2.70E-04	1.97E-04	2.19E-04	3.09E-04	1.40E-04	1.64E-04	2.10E-04	3.01E-04	1.45E-04	1.43E-04	2.78E-04	2.37E-04	2.76E-04	6.37E-05	1.04E-04	1.03E-04	2.76E-04	1.72E-04	1.22E-02	1.79E-04	1.65E-04	1.75E-04	1.59E-04	2.04E-04
